codigo,capitulo,enfermedad,tipo de enfermedad,descripcion
A00,CAPITULO I,Enfermedades infecciosas intestinales,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Cólera
A01,CAPITULO I,Enfermedades infecciosas intestinales,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Fiebres tifoidea y paratifoidea
A02,CAPITULO I,Enfermedades infecciosas intestinales,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Otras infecciones debidas a Salmonella
A03,CAPITULO I,Enfermedades infecciosas intestinales,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Shigelosis
A04,CAPITULO I,Enfermedades infecciosas intestinales,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Otras infecciones intestinales bacterianas
A05,CAPITULO I,Enfermedades infecciosas intestinales,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Otras intoxicaciones alimentarias bacterianas
A06,CAPITULO I,Enfermedades infecciosas intestinales,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Amebiasis
A07,CAPITULO I,Enfermedades infecciosas intestinales,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Otras enfermedades intestinales debidas a protozoarios
A08,CAPITULO I,Enfermedades infecciosas intestinales,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Infecciones intestinales debidas a virus y otros organismos especificados
A09,CAPITULO I,Enfermedades infecciosas intestinales,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Diarrea y gastroenteritis de presunto origen infeccioso
A15,CAPITULO I,Tuberculosis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Tuberculosis respiratoria, confirmada bacteriológica e histológicamente"
A16,CAPITULO I,Tuberculosis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Tuberculosis respiratoria, no confirmada bacteriológica o histológicamente"
A17,CAPITULO I,Tuberculosis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Tuberculosis del sistema nervioso
A18,CAPITULO I,Tuberculosis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Tuberculosis de otros órganos
A19,CAPITULO I,Tuberculosis,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Tuberculosis miliar
A20,CAPITULO I,Ciertas zoonosis bacterianas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Peste
A21,CAPITULO I,Ciertas zoonosis bacterianas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Tularemia
A22,CAPITULO I,Ciertas zoonosis bacterianas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Carbunco [ántrax]
A23,CAPITULO I,Ciertas zoonosis bacterianas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Brucelosis
A24,CAPITULO I,Ciertas zoonosis bacterianas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Muermo y melioidosis
A25,CAPITULO I,Ciertas zoonosis bacterianas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Fiebres por mordedura de rata
A26,CAPITULO I,Ciertas zoonosis bacterianas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Erisipeloide
A27,CAPITULO I,Ciertas zoonosis bacterianas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Leptospirosis
A28,CAPITULO I,Ciertas zoonosis bacterianas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"Otras enfermedades zoonoticas bacterianas, no clasificadas en otra parte"
A30,CAPITULO I,Otras enfermedades bacterianas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Lepra [enfermedad de Hansen]
A31,CAPITULO I,Otras enfermedades bacterianas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Infecciones debidas a otras micobacterias
A32,CAPITULO I,Otras enfermedades bacterianas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Listeriosis
A33,CAPITULO I,Otras enfermedades bacterianas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Tétanos neonatal
A34,CAPITULO I,Otras enfermedades bacterianas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Tétanos obstétrico
A35,CAPITULO I,Otras enfermedades bacterianas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Otros tétanos
A36,CAPITULO I,Otras enfermedades bacterianas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Difteria
A37,CAPITULO I,Otras enfermedades bacterianas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Tos ferina [tos convulsiva]
A38,CAPITULO I,Otras enfermedades bacterianas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Escarlatina
A39,CAPITULO I,Otras enfermedades bacterianas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Infección meningococica
A40,CAPITULO I,Otras enfermedades bacterianas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Septicemia estreptococica
A41,CAPITULO I,Otras enfermedades bacterianas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Otras septicemias
A42,CAPITULO I,Otras enfermedades bacterianas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Actinomicosis
A43,CAPITULO I,Otras enfermedades bacterianas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Nocardiosis
A44,CAPITULO I,Otras enfermedades bacterianas,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,Bartonelosis
