ID foto,Producto (etiqueta),Fabricante / marca,REF comercial,Lote,Vencimiento (etiqueta),Conservación (etiqueta),Contenido / presentación,Clase,Estado revisión,Observaciones y dudas,Imagen original,Imagen ZIP renombrado
1,Creatinina cinética AA líquida,Wiener lab.,1260360,2605685180,2027-10,<25 °C,A 2 x 100 mL; B 2 x 25 mL; S 1 x 30 mL,Reactivo,TRANSCRITO / VALIDAR,ANMAT PM 1102-14,WhatsApp Image 2026-09-23 at 16.18.20.jpeg,Creatinina_cinetica_AA_Wiener.jpeg
6,EC cartridge M,Erba,REG00056,2602001,2027-08,-4 a 30 °C,,Consumible equipo,TRANSCRITO / VALIDAR,Comprobar REF/lote/vencimiento en etiqueta,WhatsApp Image 2026-09-23 at 16.18.22 (1).jpeg,Erba_EC_cartridge_M.jpeg
8,TW AA,Wiener lab.,1979002,2510661780,2027-10,<25 °C,2 x 5 mL,Reactivo,TRANSCRITO / VALIDAR,ANMAT PM 1102-37,WhatsApp Image 2026-09-23 at 16.18.26 (1).jpeg,TW_AA_Wiener.jpeg
9,Solución de limpieza,Wiener lab.,,,,,,Solución limpieza,REVISAR,Envase parcialmente legible; REF/lote pendientes,WhatsApp Image 2026-09-23 at 16.18.26.jpeg,Solucion_limpieza_Wiener.jpeg
10,Hemo-Brit pediátrico aeróbico,,,,,,100 botellas,Medio de cultivo,REVISAR,Código CFP-03; fecha de producción y lote requieren revisión,WhatsApp Image 2026-09-23 at 16.18.27 (1).jpeg,Hemo_Brit_pediatrico_aerobico.jpeg
11,One Step Hemoglobina Rapid Quantitative Test,Finecare,W215,,2027-08-01,,,Test rápido,REVISAR,Sobre individual; REF y vencimiento requieren confirmación visual,WhatsApp Image 2026-09-23 at 16.18.27 (2).jpeg,Finecare_One_Step_Hb_Rapid_Quantitative_Test.jpeg
12,cTnI/CK-MB/Myo Rapid Quantitative Test,Finecare,,,,,,Test rápido,REVISAR,Panel de tres analitos; REF/lote/vencimiento no legibles,WhatsApp Image 2026-09-23 at 16.18.27 (3).jpeg,Finecare_Troponina_CKMB_Mioglobina.jpeg
13,CMD 80 Detergent,Wiener lab.,1009676,2501627660,2027-01,2 a 30 °C,1 x 2 L,Solución limpieza,TRANSCRITO / VALIDAR,Etiqueta: hidróxido de potasio 5 %; buffer citrato; ANMAT PM 1102-95,WhatsApp Image 2026-09-23 at 16.18.27.jpeg,CMD_80_detergente_Wiener.jpeg
14,D-Dimer Rapid Quantitative Test,Finecare,,,,,,Test rápido,REVISAR,REF/lote/vencimiento no legibles,WhatsApp Image 2026-09-23 at 16.18.28 (1).jpeg,Finecare_D_dimero.jpeg
15,HbA1c Rapid Quantitative Test,Finecare,,,,,,Test rápido,REVISAR,REF dudosa W207?; REF parcialmente legible; no importar el código sin comprobar,WhatsApp Image 2026-09-23 at 16.18.28.jpeg,Finecare_HbA1c.jpeg
16,STROMATOLYSER-WH,Sysmex,SWH-200A,,2027-01-28,,500 mL x 3,Reactivo hematología,TRANSCRITO / VALIDAR,El número de lote no se puede leer con seguridad,WhatsApp Image 2026-09-23 at 16.18.29 (1).jpeg,Sysmex_Stromatolyser_WH.jpeg
17,CELLPACK,Sysmex,PK-30L,,,,20 L x 1,Reactivo hematología,TRANSCRITO / VALIDAR,Diferenciar REF PK-30L de código GTIN,WhatsApp Image 2026-09-23 at 16.18.29 (2).jpeg,Sysmex_Cellpack.jpeg
18,NT-proBNP Rapid Quantitative Test,Finecare,,,,,,Test rápido,REVISAR,REF/lote/vencimiento no legibles,WhatsApp Image 2026-09-23 at 16.18.29.jpeg,Finecare_NT_proBNP.jpeg
19,CP50 Calibrant Fluid Pack,Erba,6944413802599,260083P5F,2027-03-10,2 a 8 °C,50 unidades indicadas,Calibrador,TRANSCRITO / VALIDAR,Después de instalación: 60 días a 10-25 °C; verificar formato y REF,WhatsApp Image 2026-09-23 at 16.19.28.jpeg,Erba_CP50_calibrant_fluid_pack.jpeg
20,APTT Test elágico,Wiener lab.,1705004,,,2 a 10 °C,"A 6 x 2,5 mL; B 1 x 15 mL",Reactivo coagulación,TRANSCRITO / VALIDAR,150 determinaciones indicado; lote/vencimiento no visibles,WhatsApp Image 2026-09-23 at 16.19.29 (1).jpeg,APTT_Test_elagico_Wiener.jpeg
21,EIGHTCHECK 3WP X-TRA,Sysmex,140-3004-0,,2025-07-23,,"L 4 x 2,0 mL; N 4 x 2,0 mL; H 4 x 2,0 mL",Control hematología,VENCIDO / REVISAR,VENCIDO según etiqueta; no dar de alta como lote utilizable,WhatsApp Image 2026-09-23 at 16.19.29.jpeg,Sysmex_Eightcheck_3WP_TRA.jpeg
22,ASO látex,Wiener lab.,1073151,2411616900,2026-03,2 a 10 °C,"A 1 x 2,5 mL; controles 1 x 0,5 mL",Reactivo,VENCIDO / REVISAR,VENCIDO según etiqueta; confirmar lote,WhatsApp Image 2026-09-23 at 16.19.30 (1).jpeg,ASO_latex_Wiener.jpeg
23,Thromborel S,Siemens Healthineers,10446442,576579,2028-03-09,,,Reactivo coagulación,TRANSCRITO / VALIDAR,Código adicional visible 11641512; comprobar presentación,WhatsApp Image 2026-09-23 at 16.19.30.jpeg,Thromborel_S_Siemens.jpeg
24,Anti-D (Rho) monoclonal,Wiener lab.,1443155,2501627580,2027-01,2 a 10 °C,1 x 10 mL,Reactivo inmunohematología,REVISAR,La presentación exacta requiere confirmar,WhatsApp Image 2026-09-23 at 16.19.31 (1).jpeg,Anti_D_Rho_monoclonal_Wiener.jpeg
25,Anti-A monoclonal,Wiener lab.,1443152,2412621570,2026-12,2 a 10 °C,1 x 10 mL,Reactivo inmunohematología,TRANSCRITO / VALIDAR,,WhatsApp Image 2026-09-23 at 16.19.31.jpeg,Anti_A_monoclonal_Wiener.jpeg
26,Anti-B monoclonal,Wiener lab.,1443154,2411618190,2026-11,2 a 10 °C,1 x 10 mL,Reactivo inmunohematología,TRANSCRITO / VALIDAR,,WhatsApp Image 2026-09-23 at 16.19.32 (1).jpeg,Anti_B_monoclonal_Wiener.jpeg
27,V.D.R.L. test,Wiener lab.,1853151,,,2 a 10 °C,"A 1 x 5,5 mL",Reactivo serología,TRANSCRITO / VALIDAR,250 determinaciones indicado,WhatsApp Image 2026-09-23 at 16.19.32.jpeg,VDRL_test_Wiener.jpeg
