codigo,nombre,equipo_actual_local,equipo_para_revision,clasificacion_para_revision,unidad_actual_local,referencia_actual_local_no_validada,observacion,fuente_oficial_plataforma_no_equivale_a_IFU,estado,fecha_consulta
BIL_I,Bilirrubina indirecta,,CALCULO_LIMS,DERIVADO,mg/dL,hasta 0.8 mg/dL,"Derivado: validar formula, entradas y unidades; no asignar un control fisico independiente por defecto.",,INVESTIGACION_NO_APLICAR,2026-09-21
COL_NO_LDL,Colesterol no-HDL,,CALCULO_LIMS,DERIVADO,mg/dL,< 130 mg/dL,"Derivado: validar formula, entradas y unidades; no asignar un control fisico independiente por defecto.",,INVESTIGACION_NO_APLICAR,2026-09-21
COL_RESID,Colesterol residual,,CALCULO_LIMS,DERIVADO,mg/dL,< 20 mg/dL,"Derivado: validar formula, entradas y unidades; no asignar un control fisico independiente por defecto.",,INVESTIGACION_NO_APLICAR,2026-09-21
LDL,LDL colesterol,,CALCULO_LIMS,DERIVADO,mg/dL,< 130 mg/dL,"Derivado: validar formula, entradas y unidades; no asignar un control fisico independiente por defecto.",,INVESTIGACION_NO_APLICAR,2026-09-21
RATIO_CT_HDL,Relación colesterol total/HDL,,CALCULO_LIMS,DERIVADO,,< 4.50,"Derivado: validar formula, entradas y unidades; no asignar un control fisico independiente por defecto.",,INVESTIGACION_NO_APLICAR,2026-09-21
VLDL,Colesterol VLDL,,CALCULO_LIMS,DERIVADO,mg/dL,< 30 mg/dL,"Derivado: validar formula, entradas y unidades; no asignar un control fisico independiente por defecto.",,INVESTIGACION_NO_APLICAR,2026-09-21
ALB,Albuminemia,CM260,CM260,POR_VERIFICAR,g/dL,3.5 - 5.0 g/dL,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
AMIL,Amilasa,CM260,CM260,POR_VERIFICAR,U/L,28 - 100 U/L,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
AU,Uricemia,CM260,CM260,POR_VERIFICAR,mg/dL,3.5 - 7.0 mg/dL,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
BIL_D,Bilirrubina directa,CM260,CM260,POR_VERIFICAR,mg/dL,0.0 - 0.3 mg/dL,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
BIL_T,Bilirrubina total,CM260,CM260,POR_VERIFICAR,mg/dL,0.3 - 1.2 mg/dL,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
CA,Calcemia,CM260,CM260,POR_VERIFICAR,mg/dL,8.5 - 10.5 mg/dL,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
CF,Capacidad de fijación,CM260,CM260,POR_VERIFICAR,µg/dL,250 - 450 µg/dL,Confirmar capacidad latente UIBC frente a capacidad total TIBC; no homologar por nombre.,https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
COL_TOT,Colesterol total,CM260,CM260,POR_VERIFICAR,mg/dL,< 200 mg/dL,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
CPK,CPK,CM260,CM260,POR_VERIFICAR,U/L,30 - 200 U/L,"Identificar REF/IFU vigente, verificar unidades/referencias y documentar control por lote.",https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
CREATI,Creatininemia,CM260,CM260,POR_VERIFICAR,mg/dL,0.6 - 1.2 mg/dL,Identificar variante Wiener: Jaffe/cinetica/enzimatica y aplicacion CM260.,https://www.wiener-lab.com/es-AR/product/456/,INVESTIGACION_NO_APLICAR,2026-09-21
