ID,Codigo,Examen,Material
1,ACMO,6-Acetilmorfina Confirmatorio,orina
2,ATBGGC1A,Antibiograma Gram y cultivo germenes comunes 1,absceso
3,CDITX,Clostridium difficile toxina A/B,materia fecal
4,ATBGGC1F,Antibiograma Gram y cultivo germenes comunes 1,fístula
5,ATBGGC1H,Antibiograma Gram y cultivo germenes comunes 1,herida
6,7DHCOL,7-Dehidrocolesterol,suero
7,ACANPCHC,Acanthamoeba PCR,hisopado conjuntival
8,ACANPCRO,Acanthamoeba PCR,otro material
9,CLODES,Clozapina - N-Desmetilclozapina,suero
10,COSA,Coagulacion y Sangria,sangre
11,COA,Coagulograma,plasma citrato
12,ACANPCRC,Acanthamoeba PCR,raspado conjuntival
13,ATBGGC1,Antibiograma Gram y cultivo germenes comunes 1,otro material
14,ACYAREP,Acaros y Artropodos Investigacion,escamas de piel
15,ATBGGC2A,Antibiograma Gram y cultivo germenes comunes 2,absceso
16,COO,Cobalto,orina post jornada laboral
17,CO,Cobalto,suero
18,ACYAR,Acaros y Artropodos Investigacion,pestañas
19,ATBGGC2F,Antibiograma Gram y cultivo germenes comunes 2,fístula
20,ATBGGC2H,Antibiograma Gram y cultivo germenes comunes 2,herida
21,ATBGGC2,Antibiograma Gram y cultivo germenes comunes 2,otro material
22,COHB,Carboxihemoglobina,sangre heparina
23,CU24,Cobre,orina 24 h
24,CUO,Cobre,orina
25,CU,Cobre,suero
26,COCAC,Cocaina Confirmatorio,orina
27,COCAS,Cocaina Screening,orina
28,COIAC,Coccidiodes spp. Ac.,suero
29,COAC,Cocleares 68 kD Ac.,suero
30,FVWF,Cofactor de Ristocetina,plasma citrato
31,ATBGGC3A,Antibiograma Gram y cultivo germenes comunes 3,absceso
32,COLESTAN,Colestanol,suero
33,CARDIOA,Cardiolipinas Ac.IgA,suero
34,CHDL,Colesterol HDL,suero
35,CLDL,Colesterol LDL,suero
36,CARDIOG,Cardiolipinas Ac.IgG,suero
37,CNOHDL,Colesterol NO HDL,suero
38,CT,Colesterol Total,suero
39,CARDIOM,Cardiolipinas Ac.IgM,suero
40,CVLDL,Colesterol VLDL,suero
41,CLPU,Colesterol,líquido ascítico
42,CLOT,Colesterol,otro material
43,ATBGGC3F,Antibiograma Gram y cultivo germenes comunes 3,fístula
44,COLREMAN,Colesterol-Remanentes,suero
45,ATBGGC3H,Antibiograma Gram y cultivo germenes comunes 3,herida
46,ACEO,Acetona GC-FID,orina post jornada laboral
47,ATBGGC3,Antibiograma Gram y cultivo germenes comunes 3,otro material
48,ATBHEMO1,Antibiograma hemocultivo 1,cepa bacteriana
49,CAR,Cariotipo alta resolucion,sangre heparina de sodio
50,INCOCI,Complejos inmunes circulantes,suero
51,CC1Q,Complemento C1q - Proteina 11S,suero
52,CC3,Complemento C3,suero
53,CC4,Complemento C4,suero
54,CH50,Complemento Total 50 % lisis - CH50,suero
55,5HIAA24,Acido 5 Hidroxi Indol Acetico,orina 24 h
56,5HIAAL,Acido 5 Hidroxi Indol Acetico,orina
57,ATBHEMO2,Antibiograma hemocultivo 2,cepa bacteriana
58,CO26S,Conexina 26 - Secuenciacion,sangre EDTA
59,CO26PCR,Conexina 26 Screening - 35deIG PCR,sangre EDTA
60,CIDP,Contactin-1,suero
61,ATBHEMO3,Antibiograma hemocultivo 3,cepa bacteriana
62,COOD,Coombs directa,sangre EDTA
63,COOICL,Coombs indirecta cualitativa,suero
64,PROAVP,Copeptina - PROAVP,plasma EDTA
65,COPROCUL,Coprocultivo,materia fecal
66,CARLA,Cariotipo Liquido Amniotico,liquido amniotico
67,BG,Cariotipo por Bandeo G,sangre heparina de sodio
68,COPORMF,Coproporfirinas,materia fecal
69,COPOR24,Coproporfirinas,orina 24 h
70,COPORL,Coproporfirinas,orina Litro
71,COPORERI,Coproporfirinas,sangre heparina
72,COHU,Corea de Huntington,sangre EDTA
73,COVPCRAN,Coronavirus PCR,aspirado nasofaríngeo
74,COVPCRAT,Coronavirus PCR,aspirado traqueal
75,COVPCRHN,Coronavirus PCR,hisopado nasofaríngeo
76,COVPCR,Coronavirus PCR,lavado bronqueoalveolar
77,COAPTT,Correccion con plasma normal - aPTT,plasma citrato
78,COTP,Correccion con plasma normal - TP,plasma citrato
79,CORACTH,Cortisol - Prueba de estimulo con ACTH,suero
80,COR30,Cortisol 30 minutos,suero
81,COR60,Cortisol 60 minutos,suero
82,CORSAL12,Cortisol libre mediodia,saliva
83,CORL24,Cortisol libre,orina 24 h
84,CORSALM,Cortisol matutino,saliva
85,CORMA,Cortisol matutino,suero
86,CORSALN,Cortisol nocturno,saliva
87,CARVCD,Cariotipo Vellosidades Corionicas directo,vellosidades corionicas
88,CORDXM,Cortisol post DXM-Dexametasona matutino,suero
89,CORDXMV,Cortisol post DXM-Dexametasona vespertino,suero
90,CORSALV,Cortisol vespertino,saliva
91,CORVES,Cortisol vespertino,suero
92,COROL,Cortisol,orina Litro
93,CVLP,Cariotipo Vellosidades Corionicas largo plazo,vellosidades coriónicas
94,COTIO,Cotinina,orina
95,COTI,Cotinina,suero
96,COVID19S,COVID19 Coronavirus Ac. IgG (anti-Spike),suero
97,COVID19A,COVID19 Coronavirus PCR - aspirado nasofaríngeo,suero
98,COVID19T,COVID19 Coronavirus PCR - aspirado traqueal,suero
99,COVID19E,COVID19 Coronavirus PCR - esputo,suero
100,COVID19Y,COVID19 Coronavirus PCR - hisopado anal,suero
101,COVID19H,COVID19 Coronavirus PCR - hisopado nasofaringeo,suero
102,COVID19L,COVID19 Coronavirus PCR - lavado broncoalveolar,suero
103,COVID19Z,COVID19 Coronavirus PCR - saliva,suero
104,COBUG,Coxiella burnetti Ac.IgG,suero
105,COBUM,Coxiella burnetti Ac.IgM,suero
