codigo_nbu,nombre,frecuencia,ub
660001,ACTO BIOQUÍMICO,,3.0
660002,ACETONURIA.,,1.0
660004,"ACIDIMETRIA GASTRICA , CURVA DE",,3.0
660005,"ÁCIDO BASE, Estado Ácido Base (EAB).",,15.0
660006,ACTH - HORMONA ADRENOCORTICOTROFINA.,,12.0
660007,"ADDIS, RECUENTO DE",,2.0
660009,"ADRENALINA, plasmática (CATECOLAMINA plasmática)",,25.0
660010,"ADRENALINA, urinaria (CATECOLAMINA urinaria)",,25.0
660014,AGLUTININAS del SISTEMAS ABO.,,3.0
660015,ALBUMINA - sérica,,1.5
660016,"ALCOHOL DEHIDROGENASA, ADH.",,10.0
660017,ALCOHOL ETÍLICO - sangre (ALCOHOLEMIA),,10.0
660017,ALCOHOLEMIA,,10.0
660017,ETANOL - sangre ALCOHOL ETÍLICO - sangre (ALCOHOLEMIA),,10.0
660018,ALDOLASA (Ald),,6.0
660019,ALDOSTERONA.,,15.0
660020,ALFA FETO PROTEINA (AFP),,10.0
660022,AMILASA - sérica.,,4.0
660023,AMILASA - urinaria.,,4.0
660025,AMINOÁCIDOS FRACCIONADOS (Cromatografía - por fracción) -cualitativo,,12.5
660027,AMINOACIDURIA FRACCIONADA (Cromatografía - por fracción) -cualitativo,,12.5
660028,"AMNIOTICO, LÍQUIDO CELULAS NARANJAS.",,1.0
660029,"AMNIOTICO, LÍQUIDO (Espectrofotometría - Test de Lisley)",,5.0
660030,"AMNIOTICO, LÍQUIDO LECITINA - ESFINGOMIELINA.",,5.0
660031,AMONEMIA.,,20.0
660033,ANGIOTENSINA I,,30.0
660035,ANTIBIOGRAMA (ATBG),,6.0
660036,ANTIBIOGRAMA BACILO DE KOCH (7) siete antibióticos.,,60.0
660040,"ANTICUERPOS ANTIGLOMERULAR , (IFI)",,6.0
660041,"ANTICUERPOS ANTIMEMBRANA BASAL, (IFI)",,6.0
660042,"ANTICUERPO ANTIMUSCULO LISO (ASMA), (IFI)",,7.0
660046,ANTICUERPOS ANTITIROGLOBULINA (ATG),,10.0
660049,ANTIDESIXIRRIBONUCLEASA - ADNEASA – Anti-DNA.,,9.0
660051,"ANTIESTREPTOLISINAS ""O"" (ASO / ASTO / AELO), cuantitativa",,6.0
660053,ANTIFÚNGICOS - PRUEBA DE SENSIBILIDAD,,15.0
660053,"MICOLOGÍA, PRUEBA DE SENSIBILIDAD A ANTIFÚNGICOS",,15.0
660055,"ANTIMITOCONDRIALES , ANTICUERPOS (AMA)",,7.0
660056,ANTINUCLEARES ANTICUERPOS (FAN / ANA / AAN),,7.0
660057,"ANTITRIPSINA, Alfa 1 (α1 AT) - Líq. Pleural o Mat. Fecal o Sérica - C/U - (por I.D.-Cuantitativa)",,10.0
660058,ANTITROMBINA III - con calibración de tres (3) puntos.,,15.0
660059,ARSENICO (As) - sérico o urinario.,,20.0
660060,"ASCORBICO, ÁCIDO - sérico",,30.0
660063,ANTICUERPOS Anti- HIV (ELISA),,11.0
660101,BACILOSCOPIA DIRECTA - ZIEHL NEELSEN (por muestra),,4.0
660102,"BACILOSCOPIA, DIRECTA y CULTIVO (por muestra)",,10.0
660103,"BACILOSCOPIA, (IFI - por muestra)",,10.0
660104,"BACTERIOLOGIA, DIRECTA (Coloración de Gram)",,2.0
660105,"BACTERIOLOGICO, DIRECTO-CULTIVO e IDENTIFICACIÓN del GÉRMEN",,7.0
660107,BARBITÚRICOS - urinarios.,,17.5
660108,"BENCE- JONES, PROTEINAS de (HPLC / IMF)",,30.0
660109,BICARBONATO.,,0.0
660110,"BILIRRUBINEMIA TOTAL, DIRECTA E INDIRECTA.",,1.5
660111,BILIRRUBINURIA.,,1.5
660120,C3 - COMPLEMENTO,,5.0
660121,C4 - COMPLEMENTO,,5.0
660130,CADENA LIVIANA KAPPA Y LAMBDA - sérico (IMF),,40.0
660131,CADENA LIVIANA KAPPA Y LAMBDA - urinario (IMF),,40.0
660132,CADMIO (Cd) - urinario. Código D E T E R M I N A C I O N E S U. B.,,20.0
660133,CALCEMIA TOTAL (Ca),,1.5
660134,CALCIO IONICO.,,4.0
660136,CALCIO - urinario.,,2.0
660137,CALCITONINA - sérica.,,16.0
660138,CALCULO - urinario.,,12.0
660139,"CARBONICO, ANDHIDRICO - (PCO2)",,0.0
660140,"CARIOTIPO, MAPA CROMOSOMICO.",,107.0
660141,CAROTENO BETA - sérico.,,22.0
660144,CEA - ANTÍGENO CARCINOEMBRIOGENICO.,,12.5
660148,"CELULAS NEOPLASICAS - líquidos, exudados, trasudados.",,9.0
660150,CEREBROSIDOS (Cromatográfico). (#),,
660151,CERULOPLASMINA.,,6.0
660152,CETOGENOESTEROIDES - urinarios.,,5.0
660154,CETONEMIA.,,1.5
660164,CITOLOGIA EXFOLIATIVA - VAGINAL HORMONAL (por cada muestra),,5.0
660167,"CITRICO, ÁCIDO - líquido seminal (ESTUDIO DEL SEMEN)",,10.0
660168,CLORO (Cl) - sérico.,,2.0
660169,"COAGULACION, TIEMPO DE",,1.0
660170,"COAGULO, RETRACCION DEL",,1.0
660171,COAGULOGRAMA,,6.0
660172,COBRE (Cu) - sérico.,,20.0
660173,COCAINA (Inmunocromatografía/Cromatográfico),,17.5
660174,COLESTEROL TOTAL,,1.5
660176,"COLONIAS, RECUENTO DE.",,2.0
660177,COMPATIBILIDAD - sangre materna.,,6.0
660178,COMPATIBILIDAD MATRIMONIAL - sanguínea en cónyuges.,,5.0
660179,"COMPLEMENTO, ACTIVIDAD TOTAL.- COMPLEMENTO 50% LISIS (CH-50)",,9.0
660181,CONCENTRACIÓN DE LIQUIDOS BIOLÓGICOS.,,28.0
660183,"COOMBS DIRECTA MONOESPECÍFICA, PRUEBA DE (c/u)",,2.0
660184,"COOMBS DIRECTA POLIESPECÍFICA, PRUEBA DE",,2.0
660186,COOMBS INDIRECTA,,12.0
660187,COPROCULTIVO.,,10.0
660188,COPROPORFIRINAS o PORFIRINAS - materia fecal,,15.0
660189,CORTISOL.,,10.0
660189,HIDROCORISONA - CORTISOL,,10.0
660190,CREATINQUINASA - CPK.,,3.0
660191,CREATININA - en orina,,2.0
660192,CREATININA - en sangre,,2.0
660193,"CREATININA, CLEARENCE DE DEPURACION.",,5.0
660194,CRIOAGLUTININA.,,1.0
660195,CRIOGLOBULINAS.,,1.0
660241,CHAGAS (AD),,3.0
660242,CHAGAS (HAI),,3.0
660243,"CHAGAS, Ac. Totales / IgG (IFI / ELISA / QL)",,8.0
660244,"CHAGAS, PARASITEMIA.",,6.0
660245,"CHAGAS, SEROLOGÍA - CONFIRMATORIO",,11.0
660262,"DEHIDROEPIANDROSTERONA, SULFATO - DHEA-S.",,11.0
660264,"DESCARTABLE, MATERIAL COMPLEMENTARIO (DMC).",,1.0
660268,DIGOXIN (DIGOXINA),,15.0
660269,DISACARIDASAS. (#),,
660272,DOMICILIO EN RADIO URBANO - HASTA DOS (2) Kms.,,10.0
660273,DOMICILIO A MAS DE DOS (2) Kms. - ADICIONAL por c/Km.,,3.0
660293,"EMBARAZO, REACCIÓN INMUNOLÓGICA PARA",,3.5
660295,"EOSINÓFILOS, RECUENTO de (en moco nasal)",,1.0
660297,ERITROSEDIMENTACION,,1.0
660298,ESPERMOGRAMA BASICO (EIVE),,28.0
660299,ESTRICNINA - líquidos biológicos. (#),,
660300,ESTRADIOL (E2) - sérico,,10.0
660301,ESTRIOL - urinario.,,13.0
660302,ESTRIOL - sérico. Código D E T E R M I N A C I O N E S U. B.,,13.0
660305,ESTRONA - sérica.,,15.0
660307,"ETANOL, ALCOHOL ETÍLICO - urinario. (ALCOLURIA)",,10.0
660307,ALCOLURIA,,10.0
660308,"EUGLOBULINAS, TEST DE",,3.0
660309,"EXUDADO NASOFARINGEO, CULTIVO.",,5.0
660331,FACTOR DE COAGULACION V.,,12.0
660332,FACTOR DE COAGULACION VII.,,24.0
660333,FACTOR DE COAGULACION VIII.,,20.0
660334,FACTOR DE COAGULACION IX.,,20.0
660335,FACTOR DE COAGULACION X.,,12.0
